"id","name","screen_name","url","icon","cate"
"1392307531","Beniamin Mincu 🔥🛠️","beniaminmincu","https://twitter.com/beniaminmincu","https://pbs.twimg.com/profile_images/1662440700850450435/43p7mj2__normal.jpg","coins-teams-important"
"1398122942","Hifi Finance","HifiFinance","https://twitter.com/HifiFinance","https://pbs.twimg.com/profile_images/1359899502258229248/VNo1e6VM_normal.png","spot-coins"
"1530530365","Chainlink","chainlink","https://twitter.com/chainlink","https://pbs.twimg.com/profile_images/1030475757892579334/qvSHhRyC_normal.jpg","coins"
"1548292658","Michael Bodley","michael_bodley","https://twitter.com/michael_bodley","https://pbs.twimg.com/profile_images/1651271290022506497/ovah2prS_normal.jpg","crypto-news"
"1595615893","Polkadot","Polkadot","https://twitter.com/Polkadot","https://pbs.twimg.com/profile_images/1675780528992141312/AIth_3GW_normal.jpg","coins"
"1603818258","Twitter Investor Relations","TwitterIR","https://twitter.com/TwitterIR","https://pbs.twimg.com/profile_images/1354489976788926465/czGG0i5o_normal.jpg","companies"
"1656328279","Litecoin Foundation ⚡️","LTCFoundation","https://twitter.com/LTCFoundation","https://pbs.twimg.com/profile_images/1468273429379911681/z95AiueU_normal.jpg","coins"
"1677585618","Da Hongfei","dahongfei","https://twitter.com/dahongfei","https://pbs.twimg.com/profile_images/1140650341018423301/8WsTdzOk_normal.jpg","coins-teams-important"
"1686323288","Tim Sweeney","TimSweeneyEpic","https://twitter.com/TimSweeneyEpic","https://pbs.twimg.com/profile_images/795819168629198849/SBY3ARvZ_normal.jpg","companies"
"2151686839","Circle","circle","https://twitter.com/circle","https://pbs.twimg.com/profile_images/1579947109838573568/tnJD9gx7_normal.png","spot-coins"
"2222737327","Huawei Cloud","HuaweiCloud1","https://twitter.com/HuaweiCloud1","https://pbs.twimg.com/profile_images/1001040049293508608/kk-AIfb4_normal.jpg","companies"
"2235729541","Dogecoin","dogecoin","https://twitter.com/dogecoin","https://pbs.twimg.com/profile_images/378800000857919980/lHqPIZza_normal.png","coins"
"2244994945","Twitter Dev","TwitterDev","https://twitter.com/TwitterDev","https://pbs.twimg.com/profile_images/1445764922474827784/W2zEPN7U_normal.jpg","companies"
"2259434528","Cobie","cobie","https://twitter.com/cobie","https://pbs.twimg.com/profile_images/1679856823115956224/iwn17U0w_normal.jpg","influencers"
"2259980869","Mick Tsai_Contentos","Mick_Contentos","https://twitter.com/Mick_Contentos","https://pbs.twimg.com/profile_images/1362973995369328643/_X8YsHYS_normal.jpg","coins-teams"
"2266631022","DigiByte","DigiByteCoin","https://twitter.com/DigiByteCoin","https://pbs.twimg.com/profile_images/1668401644701196288/czJN13eX_normal.jpg","coins"
"2312333412","Ethereum Foundation","ethereum","https://twitter.com/ethereum","https://pbs.twimg.com/profile_images/1627642622645878784/TP1GH9TM_normal.jpg","coins"
"2313671966","NEM","nemofficial","https://twitter.com/nemofficial","https://pbs.twimg.com/profile_images/1502843358825234434/v60ORryS_normal.jpg","coins"
"2338506822","Dash","Dashpay","https://twitter.com/Dashpay","https://pbs.twimg.com/profile_images/1445759048838639628/j549tToo_normal.png","coins"
"2349043879","Decred","decredproject","https://twitter.com/decredproject","https://pbs.twimg.com/profile_images/1034890446240006145/WGoEtcqK_normal.jpg","spot-coins"
"2361601055","db","tier10k","https://twitter.com/tier10k","https://pbs.twimg.com/profile_images/1416723334683893767/HvpCjb43_normal.jpg","tier10k"
"2365169072","富士通株式会社（Fujitsu Limited）公式","FujitsuOfficial","https://twitter.com/FujitsuOfficial","https://pbs.twimg.com/profile_images/1447713527091785728/gGPsLkL2_normal.jpg","companies"
